RealizationOfRec,Verb,AnimacyOfRec,AnimacyOfTheme,LengthOfTheme
NP,give,animate,inanimate,16.999999251044347
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,14.999999983466852
NP,give,animate,inanimate,10.000000070059542
NP,award,animate,inanimate,9.000000203974029
NP,owe,animate,inanimate,11.999999402544011
NP,do,animate,inanimate,2.00000003888011
NP,do,animate,inanimate,3.0000000339956716
NP,allow,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,3.0000000339956716
NP,offer,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,7.999999666561321
NP,send,animate,inanimate,20.99999920780813
NP,cost,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,7.999999666561321
NP,pay,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,23.999999271649312
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,11.000000299217929
NP,give,animate,animate,18.000000757869053
NP,teach,animate,inanimate,4.999999937829499
NP,bet,animate,inanimate,1
NP,tell,animate,inanimate,1
NP,give,animate,inanimate,4.999999937829499
NP,tell,animate,inanimate,4.00000015552044
NP,grant,animate,inanimate,13.999999585386387
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,10.000000070059542
NP,offer,animate,inanimate,11.000000299217929
NP,deliver,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,11.000000299217929
NP,cost,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,13.999999585386387
NP,pay,animate,inanimate,6.9999996566128155
NP,pay,animate,inanimate,2.00000003888011
NP,give,inanimate,inanimate,3.0000000339956716
NP,give,animate,inanimate,4.999999937829499
NP,pay,animate,inanimate,4.999999937829499
NP,cost,animate,inanimate,4.00000015552044
NP,pay,animate,inanimate,33.00000127160618
NP,give,animate,inanimate,4.999999937829499
NP,lend,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,4.999999937829499
NP,cost,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,6.000000184631673
NP,give,inanimate,inanimate,38.00000153039737
NP,allow,animate,inanimate,16.999999251044347
NP,give,animate,inanimate,2.00000003888011
NP,give,inanimate,inanimate,4.999999937829499
NP,leave,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,19.000000395837635
NP,extend,animate,inanimate,19.000000395837635
NP,offer,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,4.999999937829499
NP,give,inanimate,animate,13.999999585386387
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,11.999999402544011
NP,promise,animate,inanimate,2.00000003888011
NP,leave,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,3.0000000339956716
NP,grant,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,11.000000299217929
NP,cost,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,2.00000003888011
NP,tell,animate,inanimate,1
NP,give,inanimate,inanimate,1
NP,offer,animate,inanimate,4.00000015552044
NP,cost,animate,inanimate,4.00000015552044
NP,give,inanimate,inanimate,16.999999251044347
NP,give,inanimate,inanimate,2.00000003888011
NP,give,inanimate,inanimate,4.999999937829499
NP,award,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,27.000000917883128
NP,give,animate,inanimate,4.00000015552044
NP,offer,animate,inanimate,6.000000184631673
NP,extend,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,7.999999666561321
NP,guarantee,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,1
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,6.9999996566128155
NP,lend,animate,inanimate,2.00000003888011
NP,owe,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,20.99999920780813
NP,give,animate,inanimate,4.999999937829499
NP,grant,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,19.000000395837635
NP,award,animate,inanimate,4.999999937829499
NP,charge,animate,inanimate,1
NP,give,animate,inanimate,15.999999644163504
NP,give,inanimate,inanimate,9.000000203974029
NP,give,inanimate,inanimate,2.00000003888011
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,4.999999937829499
NP,give,inanimate,inanimate,2.00000003888011
NP,allow,inanimate,inanimate,7.999999666561321
NP,reimburse,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,11.000000299217929
NP,deny,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,22.000001026117072
NP,tell,animate,inanimate,25.99999901144149
NP,award,animate,inanimate,15.999999644163504
NP,give,animate,inanimate,24.999999378294994
NP,give,animate,inanimate,20.000000528920182
NP,offer,animate,inanimate,11.000000299217929
NP,pay,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,14.999999983466852
NP,give,animate,inanimate,13.000000553000037
NP,pay,animate,inanimate,4.00000015552044
NP,cost,animate,inanimate,2.00000003888011
NP,pay,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,4.999999937829499
NP,give,inanimate,inanimate,2.00000003888011
NP,give,animate,inanimate,10.000000070059542
NP,allow,animate,inanimate,6.000000184631673
NP,owe,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,22.999999633629564
NP,pay,animate,inanimate,3.0000000339956716
NP,grant,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,20.99999920780813
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,1
NP,pay,animate,inanimate,2.00000003888011
NP,cost,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,3.0000000339956716
NP,award,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,4.999999937829499
NP,pay,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,6.9999996566128155
NP,give,inanimate,inanimate,4.999999937829499
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,30.000000550135344
NP,give,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,4.999999937829499
NP,pay,animate,inanimate,1
NP,lend,animate,inanimate,1
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,22.999999633629564
NP,give,animate,inanimate,6.9999996566128155
NP,accord,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,4.999999937829499
NP,will,animate,inanimate,2.00000003888011
NP,wish,animate,inanimate,3.0000000339956716
NP,pay,animate,inanimate,11.999999402544011
NP,offer,animate,inanimate,13.000000553000037
NP,offer,animate,inanimate,6.9999996566128155
NP,pay,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,16.999999251044347
NP,give,animate,inanimate,3.0000000339956716
NP,give,inanimate,inanimate,2.00000003888011
NP,deny,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,13.000000553000037
NP,assure,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,2.00000003888011
NP,cost,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,11.000000299217929
NP,offer,animate,inanimate,9.000000203974029
NP,offer,animate,inanimate,18.000000757869053
NP,offer,animate,inanimate,13.000000553000037
NP,offer,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,6.000000184631673
NP,allow,animate,inanimate,3.0000000339956716
NP,mail,animate,inanimate,15.999999644163504
NP,offer,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,18.000000757869053
NP,give,animate,inanimate,11.000000299217929
NP,pay,animate,inanimate,16.999999251044347
NP,give,animate,inanimate,4.00000015552044
NP,send,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,13.000000553000037
NP,send,animate,inanimate,30.000000550135344
NP,give,animate,inanimate,3.0000000339956716
NP,pay,animate,inanimate,13.999999585386387
NP,pay,animate,inanimate,2.00000003888011
NP,pay,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,2.00000003888011
NP,bring,animate,inanimate,10.000000070059542
NP,lend,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,4.00000015552044
NP,give,inanimate,inanimate,4.00000015552044
NP,give,animate,inanimate,6.9999996566128155
NP,give,inanimate,inanimate,3.0000000339956716
NP,grant,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,28.999999130392265
NP,owe,animate,inanimate,10.000000070059542
NP,pay,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,6.9999996566128155
NP,bring,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,20.000000528920182
NP,hand,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,15.999999644163504
NP,give,animate,inanimate,19.000000395837635
NP,give,animate,inanimate,4.999999937829499
NP,cost,animate,inanimate,3.0000000339956716
NP,cost,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,6.000000184631673
NP,promise,animate,inanimate,4.999999937829499
NP,offer,animate,inanimate,1
NP,give,animate,inanimate,19.000000395837635
NP,promise,animate,inanimate,10.000000070059542
NP,pay,animate,inanimate,2.00000003888011
NP,pay,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,2.00000003888011
NP,deny,animate,inanimate,16.999999251044347
NP,give,animate,inanimate,2.00000003888011
NP,offer,animate,inanimate,10.000000070059542
NP,give,inanimate,inanimate,4.999999937829499
NP,give,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,22.000001026117072
NP,give,inanimate,inanimate,4.999999937829499
NP,offer,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,6.000000184631673
NP,pay,animate,inanimate,3.0000000339956716
NP,give,inanimate,inanimate,4.999999937829499
NP,give,animate,inanimate,4.00000015552044
NP,teach,animate,inanimate,13.000000553000037
NP,hand,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,3.0000000339956716
NP,promise,animate,inanimate,4.999999937829499
NP,permit,animate,inanimate,6.000000184631673
NP,pay,animate,inanimate,6.000000184631673
NP,bring,animate,inanimate,1
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,7.999999666561321
NP,pay,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,13.000000553000037
NP,tell,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,2.00000003888011
NP,cost,animate,inanimate,2.00000003888011
NP,pay,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,22.000001026117072
NP,show,animate,inanimate,2.00000003888011
NP,lend,inanimate,inanimate,4.00000015552044
NP,give,animate,inanimate,7.999999666561321
NP,promise,animate,inanimate,10.000000070059542
NP,assess,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,4.999999937829499
NP,charge,animate,inanimate,3.0000000339956716
NP,pay_back,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,3.0000000339956716
NP,charge,animate,inanimate,18.000000757869053
NP,sell,animate,inanimate,7.999999666561321
NP,show,animate,inanimate,9.000000203974029
NP,give,inanimate,inanimate,2.00000003888011
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,2.00000003888011
NP,offer,animate,inanimate,11.999999402544011
NP,pay,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,2.00000003888011
NP,send,animate,inanimate,13.999999585386387
NP,give,animate,inanimate,2.00000003888011
NP,cost,animate,inanimate,3.0000000339956716
NP,sell,animate,inanimate,1
NP,give,inanimate,inanimate,3.0000000339956716
NP,offer,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,6.000000184631673
NP,show,animate,inanimate,6.9999996566128155
NP,net,animate,inanimate,4.00000015552044
NP,cost,animate,inanimate,1
NP,cost,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,13.000000553000037
NP,offer,animate,inanimate,4.999999937829499
NP,promise,animate,inanimate,15.999999644163504
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,6.9999996566128155
NP,sell,animate,inanimate,15.999999644163504
NP,lend,animate,animate,2.00000003888011
NP,give,animate,inanimate,4.999999937829499
NP,promise,animate,inanimate,15.999999644163504
NP,give,animate,inanimate,13.999999585386387
NP,allow,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,6.000000184631673
NP,pay,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,4.999999937829499
NP,offer,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,9.000000203974029
NP,give,inanimate,inanimate,11.999999402544011
NP,cost,animate,inanimate,3.0000000339956716
NP,send,animate,inanimate,27.99999971509429
NP,cost,animate,inanimate,1
NP,cost,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,4.999999937829499
NP,pay,animate,inanimate,2.00000003888011
NP,lend,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,18.000000757869053
NP,give,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,13.000000553000037
NP,offer,animate,inanimate,6.000000184631673
NP,give,inanimate,inanimate,6.000000184631673
NP,tell,animate,inanimate,6.9999996566128155
NP,fine,animate,inanimate,1
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,11.999999402544011
NP,do,inanimate,inanimate,2.00000003888011
NP,bring,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,14.999999983466852
NP,give,animate,inanimate,15.999999644163504
NP,cost,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,1
NP,give,animate,inanimate,14.999999983466852
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,11.999999402544011
NP,send,animate,inanimate,15.999999644163504
NP,cost,animate,inanimate,1
NP,give,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,6.000000184631673
NP,guarantee,animate,inanimate,3.0000000339956716
NP,offer,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,13.999999585386387
NP,give,inanimate,inanimate,3.0000000339956716
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,27.000000917883128
NP,give,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,3.0000000339956716
NP,owe,animate,inanimate,3.0000000339956716
NP,send,animate,inanimate,22.999999633629564
NP,give,animate,inanimate,25.99999901144149
NP,give,animate,inanimate,4.00000015552044
NP,pay,animate,inanimate,3.0000000339956716
NP,vote,animate,inanimate,16.999999251044347
NP,cost,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,11.000000299217929
NP,send,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,11.999999402544011
NP,grant,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,13.000000553000037
NP,cost,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,31.999999910408746
NP,cost,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,13.999999585386387
NP,cost,animate,inanimate,9.000000203974029
NP,pay,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,10.000000070059542
NP,offer,animate,inanimate,3.0000000339956716
NP,pay,animate,inanimate,4.00000015552044
NP,offer,animate,inanimate,6.9999996566128155
NP,refuse,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,7.999999666561321
NP,fine,animate,inanimate,1
NP,grant,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,13.999999585386387
NP,give,animate,inanimate,6.9999996566128155
NP,cost,animate,inanimate,4.999999937829499
NP,hand,animate,inanimate,2.00000003888011
NP,do,animate,inanimate,3.0000000339956716
NP,tell,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,11.999999402544011
NP,offer,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,2.00000003888011
NP,feed,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,6.000000184631673
NP,sell,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,14.999999983466852
NP,give,animate,inanimate,13.999999585386387
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,33.00000127160618
NP,give,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,4.00000015552044
NP,lend,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,20.99999920780813
NP,cost,animate,inanimate,11.999999402544011
NP,permit,animate,inanimate,6.000000184631673
NP,give,animate,animate,6.9999996566128155
NP,give,animate,inanimate,6.9999996566128155
NP,pay,animate,inanimate,19.000000395837635
NP,give,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,2.00000003888011
NP,cost,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,15.999999644163504
NP,give,animate,inanimate,4.00000015552044
NP,cost,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,4.00000015552044
NP,offer,animate,inanimate,3.0000000339956716
NP,send,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,20.000000528920182
NP,assure,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,15.999999644163504
NP,give,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,20.000000528920182
NP,give,animate,inanimate,7.999999666561321
NP,pay,animate,inanimate,4.999999937829499
NP,pay,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,19.000000395837635
NP,give,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,2.00000003888011
NP,owe,inanimate,inanimate,1
NP,give,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,14.999999983466852
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,4.00000015552044
NP,serve,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,19.000000395837635
NP,award,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,14.999999983466852
NP,pay,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,4.999999937829499
NP,pay,animate,inanimate,1
NP,give,animate,inanimate,4.999999937829499
PP,give,animate,inanimate,1
PP,give,inanimate,inanimate,6.000000184631673
PP,give,animate,inanimate,4.00000015552044
PP,give,animate,inanimate,4.00000015552044
PP,sell,animate,inanimate,6.000000184631673
PP,give,inanimate,inanimate,2.00000003888011
PP,give,inanimate,inanimate,2.00000003888011
PP,give,animate,inanimate,4.00000015552044
PP,send,animate,inanimate,13.000000553000037
PP,offer,animate,inanimate,6.9999996566128155
PP,offer,animate,inanimate,1
PP,send,inanimate,inanimate,4.00000015552044
PP,send,animate,inanimate,6.000000184631673
PP,sell,animate,inanimate,4.999999937829499
PP,present,animate,inanimate,3.0000000339956716
PP,sell,animate,inanimate,4.999999937829499
PP,submit,animate,inanimate,2.00000003888011
PP,sell,animate,inanimate,4.999999937829499
PP,give,animate,inanimate,3.0000000339956716
PP,give,animate,inanimate,4.00000015552044
PP,offer,animate,inanimate,4.00000015552044
PP,sell,animate,inanimate,3.0000000339956716
PP,offer,animate,inanimate,4.00000015552044
PP,give,inanimate,inanimate,2.00000003888011
PP,sell,animate,inanimate,2.00000003888011
PP,slip,animate,inanimate,3.0000000339956716
PP,sell,animate,inanimate,6.000000184631673
PP,pay,animate,inanimate,4.00000015552044
PP,sell,animate,inanimate,3.0000000339956716
PP,sell,animate,inanimate,6.000000184631673
PP,lend,inanimate,inanimate,1
PP,sell,animate,inanimate,1
PP,sell,animate,inanimate,6.9999996566128155
PP,give,animate,inanimate,4.00000015552044
PP,sell,animate,inanimate,4.00000015552044
PP,loan,animate,inanimate,1
PP,send,animate,inanimate,2.00000003888011
PP,give,animate,inanimate,4.00000015552044
PP,give,inanimate,inanimate,1
PP,sell,animate,inanimate,6.000000184631673
PP,pay,animate,inanimate,2.00000003888011
PP,sell,animate,inanimate,13.999999585386387
PP,make,animate,inanimate,4.00000015552044
PP,give,animate,inanimate,1
PP,sell,animate,inanimate,7.999999666561321
PP,send,animate,inanimate,2.00000003888011
PP,pay,animate,inanimate,4.00000015552044
PP,offer,inanimate,inanimate,6.9999996566128155
PP,deny,animate,inanimate,1
PP,sell,animate,inanimate,6.9999996566128155
PP,sell,animate,inanimate,11.000000299217929
PP,pay,animate,inanimate,3.0000000339956716
PP,sell,animate,inanimate,4.999999937829499
PP,sell,animate,inanimate,2.00000003888011
PP,give,inanimate,inanimate,2.00000003888011
PP,bring,animate,inanimate,3.0000000339956716
PP,pay,animate,inanimate,2.00000003888011
PP,sell,animate,inanimate,4.00000015552044
PP,sell,animate,inanimate,4.999999937829499
PP,offer,animate,inanimate,3.0000000339956716
PP,sell,animate,inanimate,6.9999996566128155
PP,sell,animate,inanimate,1
PP,show,animate,inanimate,3.0000000339956716
PP,offer,animate,inanimate,3.0000000339956716
PP,award,animate,inanimate,4.999999937829499
PP,award,animate,inanimate,1
PP,send,animate,inanimate,1
PP,deliver,animate,inanimate,4.00000015552044
PP,lend,inanimate,inanimate,1
PP,grant,animate,inanimate,1
PP,sell,animate,inanimate,3.0000000339956716
PP,pay,animate,inanimate,4.999999937829499
PP,sell,animate,inanimate,4.00000015552044
PP,sell,animate,inanimate,7.999999666561321
PP,sell,animate,inanimate,3.0000000339956716
PP,send,animate,inanimate,11.999999402544011
PP,give,animate,inanimate,2.00000003888011
PP,give,animate,inanimate,2.00000003888011
PP,sell,animate,inanimate,2.00000003888011
PP,give,animate,inanimate,1
PP,give,inanimate,inanimate,2.00000003888011
PP,give,inanimate,inanimate,3.0000000339956716
PP,pay,animate,inanimate,2.00000003888011
PP,pay,animate,inanimate,2.00000003888011
PP,give,animate,inanimate,1
PP,sell,animate,inanimate,4.999999937829499
PP,sell,animate,inanimate,6.9999996566128155
PP,give,animate,inanimate,1
PP,lend,inanimate,inanimate,1
PP,sell,animate,inanimate,2.00000003888011
PP,give,animate,inanimate,2.00000003888011
PP,sell,animate,inanimate,6.9999996566128155
PP,sell,animate,inanimate,3.0000000339956716
PP,sell,animate,inanimate,3.0000000339956716
PP,sell,animate,inanimate,6.9999996566128155
PP,sell,animate,inanimate,6.9999996566128155
